"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Extensão de Tríceps na Polia (Máquina)",,"",0,"warmup",13.75,8,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Extensão de Tríceps na Polia (Máquina)",,"",1,"warmup",21.25,6,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Extensão de Tríceps na Polia (Máquina)",,"",2,"failure",28.75,10,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Extensão de Tríceps na Polia (Máquina)",,"",3,"failure",31.8,7,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Rosca Direta na Polia",,"",0,"warmup",16.25,8,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Rosca Direta na Polia",,"",1,"warmup",18.75,6,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Rosca Direta na Polia",,"",2,"failure",26.25,9,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Rosca Direta na Polia",,"",3,"failure",26.8,8,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Abdominal Na Máquina",,"",0,"warmup",50,8,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Abdominal Na Máquina",,"",1,"warmup",65,6,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Abdominal Na Máquina",,"",2,"failure",72.5,7,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Remada Baixa Iso-Lateral",,"",0,"warmup",20,7,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Remada Baixa Iso-Lateral",,"",1,"warmup",30,6,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Remada Baixa Iso-Lateral",,"",2,"failure",35,10,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Desenvolvimento (Halter)",,"",0,"warmup",28,7,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Desenvolvimento (Halter)",,"",1,"warmup",32,4,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Desenvolvimento (Halter)",,"",2,"failure",36,7,,,
"Upper B","5 Mai 2026, 07:34","5 Mai 2026, 08:44","","Desenvolvimento (Halter)",,"",3,"failure",36,5,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Máquina De Fundos Sentado",,"",0,"warmup",50,8,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Máquina De Fundos Sentado",,"",1,"warmup",65,6,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Máquina De Fundos Sentado",,"",2,"warmup",72.5,3,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Máquina De Fundos Sentado",,"",3,"failure",95,8,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Máquina De Fundos Sentado",,"",4,"failure",95,5,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Rosca Direta (Halter)",,"",0,"warmup",7,10,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Rosca Direta (Halter)",,"",1,"warmup",8,7,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Rosca Direta (Halter)",,"",2,"failure",10,12,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Rosca Direta (Halter)",,"",3,"failure",12,10,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Rosca Direta (Halter)",,"",4,"failure",14,3,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Extensão Lombar Maquina",,"",0,"warmup",65,8,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Extensão Lombar Maquina",,"",1,"warmup",80,7,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Extensão Lombar Maquina",,"",2,"failure",102.5,6,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Elevação Lateral Unilateral (Cabo)",,"Com caneleira perto do cotovelo",0,"warmup",2.5,10,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Elevação Lateral Unilateral (Cabo)",,"Com caneleira perto do cotovelo",1,"failure",10,10,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Elevação Lateral Unilateral (Cabo)",,"Com caneleira perto do cotovelo",2,"failure",10,10,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Barra Fixa Pronada Assistida",,"",0,"warmup",54,8,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Barra Fixa Pronada Assistida",,"",1,"warmup",47,8,,,
"Upper A","2 Mai 2026, 10:48","2 Mai 2026, 12:02","","Barra Fixa Pronada Assistida",,"",2,"failure",40,8,,,
"Upper B","28 Abr 2026, 10:22","28 Abr 2026, 11:44","","Extensão de Tríceps na Polia (Máquina)",,"",0,"warmup",16.8,8,,,
"Upper B","28 Abr 2026, 10:22","28 Abr 2026, 11:44","","Extensão de Tríceps na Polia (Máquina)",,"",1,"warmup",21.28,8,,,
"Upper B","28 Abr 2026, 10:22","28 Abr 2026, 11:44","","Extensão de Tríceps na Polia (Máquina)",,"",2,"failure",31.25,8,,,
"Upper B","28 Abr 2026, 10:22","28 Abr 2026, 11:44","","Extensão de Tríceps na Polia (Máquina)",,"",3,"failure",31.25,10,,,
"Upper B","28 Abr 2026, 10:22","28 Abr 2026, 11:44","","Extensão de Tríceps na Polia (Máquina)",,"",4,"warmup",28.75,3,,,
"Upper B","28 Abr 2026, 10:22","28 Abr 2026, 11:44","","Rosca Direta na Polia",,"",0,"warmup",13.75,8,,,
